C
B0#Pd,B1#Pd,B2#Pd,B0#Qd,B1#Qd,B2#Qd,B0#V,B1#V,B2#V,B0#Pg,B1#Pg,B0#Qg,B1#Qg,totPd,totQd,totPg,totQg
Time,Item,Value
,2,4.711406
,D,15.180951
25240,1,10.467661
,2,4.707983
,D,15.175644
25250,1,10.465806
,2,4.704604
,D,15.17041
25260,1,10.463979
,2,4.701161
,D,15.16514
25270,1,10.462179
,2,4.697436
,D,15.159615
25280,1,10.460407
,2,4.693758
,D,15.154165
25290,1,10.458661
,2,4.690126
,D,15.148786
25300,1,10.456941
,2,4.686539
,D,15.14348
25310,1,10.455247
,2,4.682997
,D,15.138244
25320,1,10.453578
,2,4.679499
,D,15.133077
25330,1,10.451934
,2,4.676045
,D,15.127979
25340,1,10.450315
,2,4.672634
,D,15.122949
25350,1,10.448721
,2,4.669265
,D,15.117985
25360,1,10.44715
,2,4.665938
,D,15.113088
25370,1,10.445602
,2,4.662653
,D,15.108255
25380,1,10.444078
,2,4.659408
,D,15.103486
25390,1,10.442577
,2,4.656203
,D,15.098781
25400,1,10.441099
,2,4.653039
,D,15.094137
25410,1,10.439642
,2,4.649913
,D,15.089555
25420,1,10.438207
,2,4.646826
,D,15.085034
25430,1,10.436794
,2,4.643778
,D,15.080572
25440,1,10.435402
,2,4.623045
,D,15.058447
25450,1,10.434031
,2,4.601967
,D,15.035998
25460,1,10.432681
,2,4.59938
,D,15.03206
25470,1,10.431351
,2,4.596825
,D,15.028176
25480,1,10.43004
,2,4.594304
,D,15.024344
25490,1,10.42875
,2,4.654814
,D,15.083564
25500,1,10.427479
,2,4.652356
,D,15.079834
25510,1,10.426226
,2,4.649928
,7,9.997015
,8,9.996366
,9,9.090563
,A,9.897163
,D,15.076155
,F,18.987726
25520,1,10.424993
,2,4.647532
,D,15.072525
25530,1,10.423778
,2,4.645166
,D,15.068944
25540,1,10.422581
,2,4.64283
,D,15.065411
25550,1,10.421403
,2,4.640523
,D,15.061926
25560,1,10.420242
,2,4.635755
,D,15.055997
25570,1,10.419098
,2,4.630844
,D,15.049942
25580,1,10.417972
,2,4.626
,D,15.043972
25590,1,10.401468
,2,4.621224
,D,15.022693
25600,1,10.344
,2,4.616515
,D,14.960515
25610,2,4.61187
,D,14.95587
25620,2,4.60729
,D,14.95129
25630,2,4.602774
,D,14.946774
25640,2,4.59832
,D,14.94232
25650,2,4.593928
,D,14.937928
25660,2,4.589597
,D,14.933597
25670,2,4.585326
,D,14.929326
25680,2,4.581114
,D,14.925114
25690,2,4.555773
,D,14.899773
25700,2,4.501182
,D,14.845182
25710,2,4.498218
,D,14.842218
25720,2,4.495293
,D,14.839293
25730,2,4.492408
,D,14.836408
25740,2,4.489561
,D,14.833561
25750,2,4.486752
,D,14.830752
25760,2,4.483981
,D,14.827981
25770,2,4.481247
,D,14.825247
25780,2,4.478549
